,Autoridad_Portuaria,Graneles Líquidos t,Graneles Sólidos t,Mercancía General t,Mercancia General Contenedores t,Mercancías En Tránsito t,Tráfico Ro-Ro t,TEUS Contenedores,Total_pasajeros,Anios,Mes,fecha,Total_buques,Total_automoviles,Total_toneladas
0,1,623294,464559,79616,0,92330,0,0.0,4722,2022,1,2022-01-01,94,0,1259799
1,2,0,119575,104040,97163,4663,59,14934.0,11874,2022,1,2022-01-01,44,2257,325500
2,3,7512,266992,134447,35899,141,71601,2129.5,13819,2022,1,2022-01-01,3115,3566,516592
3,4,74703,189219,97892,0,3025,0,0.0,0,2022,1,2022-01-01,65,0,364839
4,5,2268541,207212,6062831,4742267,5304368,1304479,396644.0,112032,2022,1,2022-01-01,42993,17298,19889698
5,6,80953,186763,206041,157740,128193,66815,19642.75,12826,2022,1,2022-01-01,2246,1915,826505
6,7,89870,25887,824339,25202,678,821610,6832.0,224624,2022,1,2022-01-01,41658,48299,1787586
7,8,1507323,252729,3811267,3015822,2122201,809627,293935.75,78059,2022,1,2022-01-01,30533,35207,11518969
8,9,1522047,311203,645821,418899,1580,67864,40061.5,1669,2022,1,2022-01-01,2852,1901,2967414
9,10,2393757,707086,85628,56397,0,0,4635.5,6559,2022,1,2022-01-01,194,6,3242868
10,11,868253,1088570,123368,118945,1721,32068,9431.25,0,2022,1,2022-01-01,133,9,2232925
11,12,30835,856,41337,5389,0,41288,427.0,76022,2022,1,2022-01-01,2874,17098,119705
12,13,298532,525317,34455,11839,994,1760,1073.5,0,2022,1,2022-01-01,73,0,872897
13,14,82842,1251902,107930,50722,131742,0,3823.0,0,2022,1,2022-01-01,93,0,1625138
14,15,1809356,522886,94307,39604,99578,40021,5585.75,3888,2022,1,2022-01-01,2260,2883,2605752
15,16,767862,23479,1397387,1054481,1133039,344624,96280.0,187016,2022,1,2022-01-01,26016,96055,4720872
16,17,6150,167831,273393,242934,221330,33466,21642.0,21378,2022,1,2022-01-01,2098,14919,945104
17,18,0,36190,95656,40319,210,0,3230.75,0,2022,1,2022-01-01,35,5,172375
18,19,6435,6603,37294,3764,0,37294,593.5,21736,2022,1,2022-01-01,2372,4449,91390
19,20,101073,82473,13125,0,14108,4204,0.0,3003,2022,1,2022-01-01,235,983,214983
20,21,0,89235,181693,0,825,47477,0.0,0,2022,1,2022-01-01,352,19418,319230
21,22,274772,12000,569215,281622,42644,294387,35732.0,382155,2022,1,2022-01-01,23624,108390,1474640
22,23,19265,275083,223923,35486,8321,192866,3051.0,8716,2022,1,2022-01-01,5250,24518,754944
23,24,45994,181106,113882,78211,0,9763,10893.75,130,2022,1,2022-01-01,539,265,428956
24,25,1857969,955440,198401,49423,217873,42022,5292.75,54,2022,1,2022-01-01,1425,13311,3321128
25,26,450747,155921,6153562,5039609,2908309,924369,449787.0,49434,2022,1,2022-01-01,33980,54914,15632517
26,27,0,25690,325209,212308,21925,95945,18253.0,744,2022,1,2022-01-01,1241,45225,681077
27,28,23765,39328,72692,28052,50,0,3012.75,0,2022,1,2022-01-01,36,10,163887
28,1,690494,185452,67314,30,0,0,3.0,975,2022,2,2022-02-01,70,0,943290
29,2,7190,127195,134557,114149,1107,4863,17968.0,12379,2022,2,2022-02-01,270,2226,389061
30,3,13894,389279,126804,54716,0,68609,3113.25,12102,2022,2,2022-02-01,3037,3474,653302
31,4,54157,294729,126838,0,3025,0,0.0,0,2022,2,2022-02-01,64,0,478749
32,5,2455118,60047,5469893,4095095,4621260,1366370,362336.0,112973,2022,2,2022-02-01,44779,16375,18067783
33,6,62924,189202,196339,147885,142537,65788,18613.0,2899,2022,2,2022-02-01,2121,1527,804675
34,7,54226,28698,963656,28338,1929,958067,7628.0,235943,2022,2,2022-02-01,48605,49179,2034914
35,8,1375011,413006,3658040,2740901,1901341,913036,264193.5,71312,2022,2,2022-02-01,33796,52804,11001335
36,9,1168148,301484,695595,453611,967,81629,42858.5,1593,2022,2,2022-02-01,3246,7118,2701434
37,10,2124685,527456,82622,50246,0,0,4586.25,5125,2022,2,2022-02-01,170,0,2785009
38,11,681731,772888,89571,80775,1103,18018,6370.0,0,2022,2,2022-02-01,132,8,1644086
39,12,52302,1400,42613,4864,0,42288,394.0,76613,2022,2,2022-02-01,3085,16338,143467
40,13,278240,469757,44274,11627,1289,0,1049.75,0,2022,2,2022-02-01,67,0,805187
41,14,52422,1326997,110847,60857,174279,0,4012.0,0,2022,2,2022-02-01,97,0,1725402
42,15,1843815,520843,96210,48191,84559,46877,6899.25,3678,2022,2,2022-02-01,2542,2786,2640495
43,16,582404,23573,1300874,954522,893596,346551,84845.0,180281,2022,2,2022-02-01,26894,63346,4101520
44,17,7875,183677,240368,210265,192842,32693,20194.0,15877,2022,2,2022-02-01,1988,10392,867720
45,18,0,30165,83632,43546,366,0,3588.25,0,2022,2,2022-02-01,33,14,157709
46,19,2300,0,36820,3084,0,36820,492.25,17748,2022,2,2022-02-01,2349,3081,79024
47,20,128444,50377,17920,0,3430,4251,0.0,1935,2022,2,2022-02-01,244,569,204422
48,21,0,76302,189754,0,1433,49809,0.0,0,2022,2,2022-02-01,407,20465,317298
49,22,171026,50181,571269,282207,57677,295761,34841.0,412938,2022,2,2022-02-01,23827,119406,1428121
50,23,14723,367114,215988,31319,1004,178543,2718.75,8287,2022,2,2022-02-01,4949,24379,808691
51,24,27776,147966,102921,66729,0,5660,8522.75,0,2022,2,2022-02-01,342,356,351052
52,25,1627078,661501,155616,50652,51559,49146,5466.0,41,2022,2,2022-02-01,1371,15980,2595552
53,26,440104,164453,6132790,4960216,2838861,1055832,435236.0,53548,2022,2,2022-02-01,38609,62615,15592256
54,27,5404,28720,337110,211167,15785,86019,17615.0,8490,2022,2,2022-02-01,1010,42151,684205
55,28,41889,23694,61185,22646,13,0,2661.75,0,2022,2,2022-02-01,30,11,149427
56,1,570653,251749,60822,0,0,0,0.0,4693,2022,3,2022-03-01,85,0,883224
57,2,5285,56578,141443,128299,6552,167,18116.0,19439,2022,3,2022-03-01,72,2245,338324
58,3,0,289639,140978,37269,0,78533,2107.5,14858,2022,3,2022-03-01,3577,4376,546419
59,4,55976,174156,101476,0,0,0,0.0,0,2022,3,2022-03-01,70,0,331608
60,5,2202145,281912,6098232,4774279,5327571,1312126,401635.0,129325,2022,3,2022-03-01,43608,18116,19996265
61,6,194554,68996,180997,132114,251106,49001,17302.0,20502,2022,3,2022-03-01,1884,1158,876768
62,7,65978,34082,1071371,31118,450,1056140,8393.0,282339,2022,3,2022-03-01,53891,56701,2259139
63,8,1488794,527472,4474862,3461354,2828676,1034998,319486.0,102565,2022,3,2022-03-01,38778,56590,13816156
64,9,1782361,208410,754975,410177,2423,85317,38543.75,3194,2022,3,2022-03-01,3434,12584,3243663
65,10,2211468,510606,77436,49427,0,0,4061.5,11391,2022,3,2022-03-01,190,0,2848937
66,11,868966,809362,101681,91496,894,24310,7430.0,0,2022,3,2022-03-01,113,50,1896709
67,12,34661,0,44213,6042,0,43693,448.0,90695,2022,3,2022-03-01,3149,18010,128609
68,13,224436,679261,52606,17733,1979,0,1729.5,0,2022,3,2022-03-01,84,0,976015
69,14,78256,1327027,89215,36275,8096,0,2811.0,0,2022,3,2022-03-01,91,0,1538869
70,15,2292832,240107,105522,40542,329491,52260,6023.5,4687,2022,3,2022-03-01,2772,3226,3060754
71,16,720588,45566,1449721,1045216,1058954,407308,90533.0,211434,2022,3,2022-03-01,31666,58759,4727353
72,17,9724,105284,313784,282070,266464,33312,26383.25,26183,2022,3,2022-03-01,1962,13431,1010638
73,18,0,142745,110030,40486,145,0,3427.25,0,2022,3,2022-03-01,40,12,293406
74,19,4463,1502,35454,3674,0,35454,531.75,22309,2022,3,2022-03-01,2306,3840,80547
75,20,68607,53942,15290,0,6054,4138,0.0,2458,2022,3,2022-03-01,234,810,148031
76,21,0,77793,228611,0,762,47407,0.0,0,2022,3,2022-03-01,394,19870,354573
77,22,351662,41691,636716,303110,51881,352226,36498.0,472079,2022,3,2022-03-01,28288,126349,1737286
78,23,24597,234080,212091,24129,1593,160476,2128.25,13006,2022,3,2022-03-01,4403,30577,656966
79,24,39319,120938,123038,75988,0,8078,11329.75,1668,2022,3,2022-03-01,471,468,367361
80,25,1303749,304744,316767,160194,188682,58433,14058.0,65,2022,3,2022-03-01,1721,14836,2332569
81,26,457711,189878,5367218,4140074,2292459,1023560,353217.0,52221,2022,3,2022-03-01,38369,63496,13470900
82,27,510,18001,343356,216978,27464,53017,18571.0,3984,2022,3,2022-03-01,459,26076,659326
83,28,19619,20303,82173,22701,11999,0,2975.75,0,2022,3,2022-03-01,34,51,156795
84,1,716713,237798,54009,0,22678,0,0.0,25581,2022,4,2022-04-01,104,0,1031198
85,2,2100,171913,133752,121382,2655,5391,18290.75,18127,2022,4,2022-04-01,263,2762,437193
86,3,6993,278324,132134,46287,0,74497,2448.25,14380,2022,4,2022-04-01,4083,4285,538235
87,4,50614,289175,79435,0,0,0,0.0,0,2022,4,2022-04-01,67,0,419224
