;Meses;Autoridad_Portuaria;Graneles Líquidos t;Graneles Sólidos t;Mercancía General t;Mercancia General Contenedores t;Pesca t;Avituallamiento t;Avituallamiento De Combustibles Líquidos t;Tráfico Interior t;Mercancías En Tránsito t;Mercancías En Tránsito En Contenedores t;Tráfico Ro-Ro t;UTIS Ro-Ro;TEUS Contenedores;TEUS Contenedores En Tránsito;TEUS Contenedores Entrada-Salida Nacional;TEUS Contenedores Entrada-Salida Exterior;Unidades Buques Mercantes;G.T. Buques Mercantes;Unidades Buques De Crucero;Pasajeros En Régimen De Transporte Y De Crucero;Pasajeros En Régimen De Transporte;Pasajeros De Crucero;Automóviles En Régimen De Pasaje;Automóviles En Régimen De Mercancía
0;Enero_2022;A Coruña;623294;464559;79616;0;1403.861;2998;2209;0;92330;0;0;0;0.0;0.0;0.0;0.0;89;1616714;5;4722;0;4722;0;0
1;Enero_2022;Alicante;0;119575;104040;97163;0.0;1484;129;0;4663;4663;59;0;14934.0;400.5;11548.25;2985.25;43;622310;1;11874;9394;2480;2147;110
2;Enero_2022;Almería;7512;266992;134447;35899;208.561;4601;2290;0;141;141;71601;3000;2129.5;8.0;316.75;1804.75;115;1716296;0;13819;13819;0;3411;155
3;Enero_2022;Avilés;74703;189219;97892;0;627.525;4251;1596;0;3025;0;0;0;0.0;0.0;0.0;0.0;65;456463;0;0;0;0;0;0
4;Enero_2022;Bahía de Algeciras;2268541;207212;6062831;4742267;23.82;286828;274068;260600;5304368;4253234;1304479;41255;396644.0;341856.0;72.0;54716.0;1738;32968898;0;112032;112032;0;17020;278
5;Enero_2022;Bahía de Cádiz;80953;186763;206041;157740;825.339;12845;3736;0;128193;45978;66815;2074;19642.75;3957.75;12552.5;3132.5;161;2331814;11;12826;1568;11258;734;1181
6;Enero_2022;Baleares;89870;25887;824339;25202;93.70800000000001;6252;127;0;678;0;821610;38899;6832.0;0.0;6832.0;0.0;2744;16859106;15;224624;203207;21417;45174;3125
7;Enero_2022;Barcelona;1507323;252729;3811267;3015822;265.99;140339;126691;0;2122201;1466893;809627;29870;293935.75;129770.5;14086.75;150078.5;637;22848917;26;78059;50352;27707;14805;20402
8;Enero_2022;Bilbao;1522047;311203;645821;418899;0.0;8942;4740;0;1580;1580;67864;2655;40061.5;113.75;3452.0;36495.75;197;3524598;0;1669;1669;0;551;1350
9;Enero_2022;Cartagena;2393757;707086;85628;56397;31.018;22319;2024;0;0;0;0;0;4635.5;0.0;1438.0;3197.5;185;4136627;9;6559;0;6559;0;6
10;Enero_2022;Castellón;868253;1088570;123368;118945;169.685;2468;0;0;1721;1721;32068;1;9431.25;399.0;261.0;8771.25;132;2000562;0;0;0;0;0;9
11;Enero_2022;Ceuta;30835;856;41337;5389;0.9;39158;37937;0;0;0;41288;2133;427.0;0.0;423.0;4.0;741;4915836;0;76022;76022;0;16975;123
12;Enero_2022;Ferrol-San Cibrao;298532;525317;34455;11839;16.07;857;524;0;994;0;1760;3;1073.5;0.0;159.5;914.0;69;960541;1;0;0;0;0;0
13;Enero_2022;Gijón;82842;1251902;107930;50722;116.421;7499;7499;0;131742;38;0;0;3823.0;4.0;734.0;3085.0;93;1443959;0;0;0;0;0;0
14;Enero_2022;Huelva;1809356;522886;94307;39604;18.287;17007;14956;0;99578;11;40021;2076;5585.75;2.0;4818.0;765.75;184;3659770;0;3888;3888;0;2363;520
15;Enero_2022;Las Palmas;767862;23479;1397387;1054481;24.905;216169;190002;0;1133039;709168;344624;24839;96280.0;49800.0;39750.0;6730.0;1084;25239610;93;187016;83357;103659;39277;56778
16;Enero_2022;Málaga;6150;167831;273393;242934;42.628;4956;1884;0;221330;221330;33466;1982;21642.0;19805.0;587.0;1250.0;103;2867563;13;21378;15811;5567;2619;12300
17;Enero_2022;Marín y Ría de Pontevedra;0;36190;95656;40319;192.875;3738;2203;0;210;195;0;0;3230.75;87.0;237.0;2906.75;35;252332;0;0;0;0;0;5
18;Enero_2022;Melilla;6435;6603;37294;3764;0.0;0;0;0;0;0;37294;2285;593.5;0.0;586.5;7.0;87;1838074;0;21736;21736;0;4286;163
19;Enero_2022;Motril;101073;82473;13125;0;94.10500000000002;1170;754;0;14108;0;4204;195;0.0;0.0;0.0;0.0;40;522503;0;3003;3003;0;983;0
