;Meses;Autoridad_Portuaria;Graneles Líquidos t;Graneles Sólidos t;Mercancía General t;Mercancia General Contenedores t;Pesca t;Avituallamiento t;Avituallamiento De Combustibles Líquidos t;Tráfico Interior t;Mercancías En Tránsito t;Mercancías En Tránsito En Contenedores t;Tráfico Ro-Ro t;UTIS Ro-Ro;TEUS Contenedores;TEUS Contenedores En Tránsito;TEUS Contenedores Entrada-Salida Nacional;TEUS Contenedores Entrada-Salida Exterior;Unidades Buques Mercantes;G.T. Buques Mercantes;Unidades Buques De Crucero;Pasajeros En Régimen De Transporte Y De Crucero;Pasajeros En Régimen De Transporte;Pasajeros De Crucero;Automóviles En Régimen De Pasaje;Automóviles En Régimen De Mercancía
0;Enero;A Coruña;676655;521447;40997;66;1202.998;2027;1488;0;268394;0;0;0;6.0;0.0;0.0;6.0;81;1458841;4;6584;0;6584;0;0
1;Enero;Alicante;5453;191759;96204;89345;0.0;1864;183;0;1100;1100;4830;186;14253.75;109.5;11790.5;2353.75;58;977692;4;20175;9362;10813;2517;78
2;Enero;Almería;4538;299084;74717;11672;186.172;5193;2983;0;2;2;49520;2493;1293.5;1.0;746.0;546.5;113;1897768;0;35434;35434;0;9707;170
3;Enero;Avilés;55417;266336;91717;0;481.46;4439;1841;0;0;0;0;0;0.0;0.0;0.0;0.0;64;489495;0;0;0;0;0;0
4;Enero;Bahía de Algeciras;2380167;31659;5747403;4544493;85.45000000000002;289720;274832;261841;5066784;4047780;1198464;40107;377596.0;312435.0;0.0;65161.0;2338;42389099;0;315529;315529;0;66691;235
5;Enero;Bahía de Cádiz;163563;137032;166825;115728;839.738;9651;968;0;180514;19199;68949;2039;15875.25;1619.5;12771.75;1484.0;142;2649740;13;33613;1751;31862;1078;1314
6;Enero;Baleares;71491;43279;884058;21952;60.77;2766;138;36;634;0;875930;41066;6126.0;0.0;6124.0;2.0;2553;17315621;16;286458;229888;56570;53451;5525
7;Enero;Barcelona;999877;414210;3571011;2789630;44.07599999999999;118021;103451;0;1766382;1400631;796862;28411;270814.0;116010.0;14306.5;140497.5;644;24547383;26;163275;70262;93013;21954;47534
8;Enero;Bilbao;1503473;334672;595059;407988;0.0;9409;4986;0;1140;1140;73514;2922;40514.0;100.75;4155.25;36258.0;195;3554616;0;2776;2776;0;1088;1530
9;Enero;Cartagena;2335996;870622;81870;42249;0.0;9028;400;0;303201;100;0;0;3059.75;50.0;624.0;2385.75;154;3738345;5;7108;0;7108;0;11
10;Enero;Castellón;672781;637990;85980;81295;74.79299999999999;2547;0;0;884;884;12408;6;5675.0;199.0;329.0;5147.0;113;1522611;0;0;0;0;0;83
11;Enero;Ceuta;51759;1400;39348;5644;0.0;52984;51436;0;0;0;38958;2306;476.5;0.0;459.5;17.0;835;6228763;2;137769;134664;3105;32617;118
12;Enero;Ferrol-San Cibrao;458282;249197;121828;54410;9.109;819;453;0;19808;0;1008;0;5621.0;0.0;1791.0;3830.0;79;1458368;1;749;0;749;0;22
13;Enero;Gijón;92447;1378370;109165;60316;193.198;7423;7423;0;688404;5;0;0;4843.0;2.0;1186.0;3655.0;90;1510618;0;0;0;0;0;0
14;Enero;Huelva;2131411;556185;99250;41907;12.56;13890;11636;6000;136555;0;49752;2468;5795.25;0.0;4957.75;837.5;168;3771794;0;4375;4375;0;2664;709
15;Enero;Las Palmas;642064;31252;1315435;932351;35.749;197960;162737;0;907028;597287;393153;27320;85535.0;40475.0;40095.0;4965.0;1041;24342303;84;313269;97384;215885;44058;25384
16;Enero;Málaga;2010;160617;45992;17557;7.768000000000002;5256;2163;0;2010;0;32280;2036;1714.0;0.0;820.0;894.0;92;2515199;8;37901;22906;14995;4532;1304
17;Enero;Marín y Ría de Pontevedra;0;116767;100301;45507;214.051;1516;507;0;408;408;0;0;4228.75;204.0;335.75;3689.0;37;276658;0;0;0;0;0;5
18;Enero;Melilla;3749;1499;32114;3353;0.0;9;0;0;0;0;32114;2113;459.0;0.0;459.0;0.0;95;2207728;0;36897;36897;0;8143;153
19;Enero;Motril;85635;26234;44747;202;77.821;1675;632;0;3062;0;32687;1045;30.0;0.0;0.0;30.0;67;838993;0;5261;5261;0;1234;1011
20;Enero;Pasaia;0;60947;185119;0;1731.351;2490;1380;0;0;0;43741;201;0.0;0.0;0.0;0.0;73;543610;0;0;0;0;0;18248
21;Enero;Santa Cruz de Tenerife;345086;29549;618428;298797;105.015;62340;51021;127;55859;53377;333371;24228;40208.0;7954.0;29467.0;2787.0;1393;19025326;64;554520;393388;161132;119666;5839
22;Enero;Santander;13725;336932;194965;26379;188.404;3015;1429;0;5689;0;172864;3854;1987.5;0.0;0.0;1987.5;113;2197015;0;8014;8014;0;3922;33240
23;Enero;Sevilla;32286;158632;111476;79337;0.0;1944;1244;0;0;0;14801;680;10884.5;0.0;10830.5;54.0;63;361387;0;0;0;0;0;258
24;Enero;Tarragona;1526568;1063474;126689;28004;68.21600000000001;11642;6232;0;166923;72;33461;0;3215.0;34.25;873.75;2307.0;196;3890244;0;0;0;0;0;23693
25;Enero;Valencia;513026;189304;5177738;4023882;45.623;35768;26942;0;2225165;2160481;1002693;34470;363015.0;171910.0;14695.0;176410.0;670;26500650;3;51663;46348;5315;13622;48494
26;Enero;Vigo;2993;30628;310163;186430;2034.406;10270;5262;0;23257;14556;94579;935;18873.0;2264.0;1295.0;15314.0;147;2976563;3;6442;0;6442;0;46861
27;Enero;Vilagarcía;15946;35816;52710;19788;0.0;999;499;0;86;86;0;0;2326.0;6.0;2208.0;112.0;28;221170;0;0;0;0;0;10
28;Febrero;A Coruña;895370;546233;57323;0;1385.374;3713;2599;0;315786;0;0;0;0.0;0.0;0.0;0.0;96;1545849;0;0;0;0;0;0
29;Febrero;Alicante;0;135408;96726;89628;0.0;1447;186;0;0;0;51;0;13856.75;0.0;11734.5;2122.25;53;816249;4;18333;8555;9778;1938;142
30;Febrero;Almería;3689;313763;97314;9285;145.575;5090;2304;0;13;13;56033;2957;1335.0;2.0;996.0;337.0;111;1876793;0;22979;22979;0;6871;152
31;Febrero;Avilés;72394;223174;83122;0;634.812;3272;1043;0;0;0;0;0;0.0;0.0;0.0;0.0;58;448131;0;0;0;0;0;0
32;Febrero;Bahía de Algeciras;1898017;35205;5293605;4055921;26.18;189284;176700;193570;4717294;3572655;1227186;40301;341186.0;284207.0;4.0;56975.0;1796;34054976;0;237169;237169;0;49402;243
33;Febrero;Bahía de Cádiz;148050;162994;155381;108757;703.2;6172;2618;0;156309;15018;63839;1910;14367.75;1436.0;10917.25;2014.5;96;2214894;14;20845;1426;19419;846;2377
34;Febrero;Baleares;81764;41212;993895;23743;102.359;3295;121;663;918;0;987844;46496;6568.0;0.0;6568.0;0.0;2415;15139445;11;266579;220283;46296;43672;6570
35;Febrero;Barcelona;1072742;369020;3354054;2522049;106.389;106638;92490;0;1434017;1070082;856022;29291;243685.0;91663.5;16664.0;135357.5;601;22613490;20;136253;57059;79194;17067;72364
36;Febrero;Bilbao;1505199;278019;632124;444749;0.0;9555;5063;0;4190;4190;76505;3064;43415.25;246.75;3868.5;39300.0;198;3632415;0;2208;2208;0;804;3086
37;Febrero;Cartagena;2109933;557476;68510;47032;0.0;11921;892;0;11;11;0;0;3292.75;5.0;640.0;2647.75;143;3306411;3;5382;0;5382;0;0
38;Febrero;Castellón;732854;406445;88478;82007;279.389;2086;0;0;1405;1405;12932;3;5833.0;124.0;335.0;5374.0;101;1425735;0;0;0;0;0;96
39;Febrero;Ceuta;49966;1000;40670;4791;0.0;48607;47540;0;0;0;40410;2428;414.0;0.0;395.0;19.0;674;4981358;2;101377;97972;3405;22761;105
40;Febrero;Ferrol-San Cibrao;477001;296746;112087;39908;13.305;975;571;0;23307;0;1813;12;2964.5;0.0;692.75;2271.75;92;1513164;0;0;0;0;0;0
41;Febrero;Gijón;94982;1402222;112971;55032;85.085;0;0;0;566478;0;0;0;3640.0;0.0;596.0;3044.0;93;1631996;0;0;0;0;0;1
42;Febrero;Huelva;2211222;414719;90431;40789;12.064;4987;2923;7019;174262;6;51550;2576;5940.25;1.0;5285.0;654.25;152;3263091;0;3892;3892;0;2392;878
43;Febrero;Las Palmas;561677;22533;1290617;937798;57.39;231248;204100;0;831393;598532;344383;24441;84350.0;38653.0;39171.0;6526.0;1033;25362332;79;310922;101902;209020;42114;21116
44;Febrero;Málaga;12900;71662;61834;23266;12.0;5050;1838;0;3709;2639;38307;2169;3155.25;1328.25;659.0;1168.0;88;2243457;7;30304;15629;14675;2745;4577
